IRAFNAME        RELPATH
mtab            mtab
crcalobs        calobs
crcalspec       calspec
croldcalspec    oldcalspec
crfields        fields
crwave          crwave
crmodewave      modewave
crfgs           fgs
crcomp          comp
crnonhstcomp    comp/nonhst
crotacomp       comp/ota
crcostarcomp    comp/costar
crfoccomp       comp/foc
crfoscomp       comp/fos
crhspcomp       comp/hsp
crhrscomp       comp/hrs
crwfpccomp      comp/wfpc
crwfpc2comp     comp/wfpc2
crfgscomp       comp/fgs
crnicmoscomp    comp/nicmos
cracscomp       comp/acs
crwfc3comp      comp/wfc3
crstiscomp      comp/stis
crcoscomp       comp/cos
coscomp         comp/cos
crjwstotecomp   comp/jwstote
crmiricomp      comp/miri
crnircamcomp    comp/nircam
crnirspeccomp   comp/nirspec
crnirisscomp    comp/niriss
crgrid          grid
crgridagn       grid/agn
crgridbk        grid/bkmodels
crgridbpgs      grid/bpgs
crgridbz77      grid/bz77
crgridck04      grid/ck04models
crgridgalactic  grid/galactic
crgridgs        grid/gunnstryker
crgridjac       grid/jacobi
crgridk93       grid/k93models
crgridkc96      grid/kc96
crgridphoenix   grid/phoenix
